country,country_code,forecast_date,lead_time_days,latitude,longitude,threshold_rp_years,threshold_discharge_m3s,exceedance_probability,exceeding_members,total_members,median_discharge_m3s,mean_discharge_m3s,min_discharge_m3s,max_discharge_m3s,p25_discharge_m3s,p75_discharge_m3s,median_exceeds_threshold,median_exceedance_pct,alert_status,threshold_2yr_m3s,threshold_5yr_m3s
Guatemala,guatemala,2025-10-01,3,14.225,-90.325,3.000,202.938,0.000,0,50,94.707,96.562,84.094,129.164,90.242,100.086,False,-53.332,LOW,171.182,242.945
Guatemala,guatemala,2025-10-02,3,14.225,-90.325,3.000,202.938,0.000,0,50,95.410,95.908,82.891,123.984,90.570,99.990,False,-52.986,LOW,171.182,242.945
Guatemala,guatemala,2025-10-03,3,14.225,-90.325,3.000,202.938,0.000,0,50,96.168,99.422,85.578,165.789,90.711,102.383,False,-52.612,LOW,171.182,242.945
Guatemala,guatemala,2025-10-04,3,14.225,-90.325,3.000,202.938,0.000,0,50,102.016,106.552,88.633,180.523,97.709,109.348,False,-49.731,LOW,171.182,242.945
Guatemala,guatemala,2025-10-05,3,14.225,-90.325,3.000,202.938,0.060,3,50,106.102,120.859,93.195,436.289,102.006,111.291,False,-47.717,LOW,171.182,242.945
Guatemala,guatemala,2025-10-06,3,14.225,-90.325,3.000,202.938,0.040,2,50,115.836,124.547,97.102,239.195,109.146,129.184,False,-42.921,LOW,171.182,242.945
Guatemala,guatemala,2025-10-07,3,14.225,-90.325,3.000,202.938,0.000,0,50,119.820,119.831,102.500,153.852,111.668,125.029,False,-40.957,LOW,171.182,242.945
Guatemala,guatemala,2025-10-08,3,14.225,-90.325,3.000,202.938,0.000,0,50,119.043,120.651,101.383,146.914,112.971,124.816,False,-41.340,LOW,171.182,242.945
Guatemala,guatemala,2025-10-09,3,14.225,-90.325,3.000,202.938,0.000,0,50,125.270,125.857,102.672,155.047,119.213,133.041,False,-38.272,LOW,171.182,242.945
Guatemala,guatemala,2025-10-10,3,14.225,-90.325,3.000,202.938,0.000,0,50,116.359,119.310,97.562,157.109,112.531,126.277,False,-42.663,LOW,171.182,242.945
Guatemala,guatemala,2025-10-11,3,14.225,-90.325,3.000,202.938,0.020,1,50,123.676,128.728,105.125,381.477,115.412,129.047,False,-39.057,LOW,171.182,242.945
Guatemala,guatemala,2025-10-12,3,14.225,-90.325,3.000,202.938,0.000,0,50,128.840,131.732,113.438,176.422,121.408,137.512,False,-36.513,LOW,171.182,242.945
Guatemala,guatemala,2025-10-13,3,14.225,-90.325,3.000,202.938,0.000,0,50,123.438,124.076,108.484,144.297,116.273,129.832,False,-39.175,LOW,171.182,242.945
Guatemala,guatemala,2025-10-14,3,14.225,-90.325,3.000,202.938,0.000,0,50,122.414,124.916,106.383,184.219,115.363,131.318,False,-39.679,LOW,171.182,242.945
Guatemala,guatemala,2025-10-15,3,14.225,-90.325,3.000,202.938,0.000,0,50,122.914,122.952,102.562,141.266,116.039,129.400,False,-39.433,LOW,171.182,242.945
Guatemala,guatemala,2025-10-16,3,14.225,-90.325,3.000,202.938,0.000,0,50,120.527,121.283,102.406,157.711,114.559,125.475,False,-40.609,LOW,171.182,242.945
Guatemala,guatemala,2025-10-17,3,14.225,-90.325,3.000,202.938,0.000,0,50,121.449,122.395,104.039,158.609,114.668,129.570,False,-40.155,LOW,171.182,242.945
Guatemala,guatemala,2025-10-18,3,14.225,-90.325,3.000,202.938,0.000,0,50,115.121,116.065,102.828,134.164,111.463,120.199,False,-43.273,LOW,171.182,242.945
Guatemala,guatemala,2025-10-19,3,14.225,-90.325,3.000,202.938,0.000,0,50,114.895,115.147,104.258,126.695,111.863,117.941,False,-43.384,LOW,171.182,242.945
Guatemala,guatemala,2025-10-20,3,14.225,-90.325,3.000,202.938,0.000,0,50,107.859,108.083,102.469,118.969,105.650,110.324,False,-46.851,LOW,171.182,242.945
Guatemala,guatemala,2025-10-21,3,14.225,-90.325,3.000,202.938,0.000,0,50,105.473,106.098,101.992,114.797,104.068,108.297,False,-48.027,LOW,171.182,242.945
Guatemala,guatemala,2025-10-22,3,14.225,-90.325,3.000,202.938,0.000,0,50,100.500,102.011,98.000,120.266,99.400,102.682,False,-50.478,LOW,171.182,242.945
Guatemala,guatemala,2025-10-23,3,14.225,-90.325,3.000,202.938,0.000,0,50,96.945,97.225,94.867,102.773,96.008,97.697,False,-52.229,LOW,171.182,242.945
Guatemala,guatemala,2025-10-24,3,14.225,-90.325,3.000,202.938,0.000,0,50,93.246,93.391,92.633,95.070,92.939,93.627,False,-54.052,LOW,171.182,242.945
Guatemala,guatemala,2025-10-25,3,14.225,-90.325,3.000,202.938,0.000,0,50,91.582,91.569,91.047,92.188,91.395,91.764,False,-54.872,LOW,171.182,242.945
Guatemala,guatemala,2025-10-26,3,14.225,-90.325,3.000,202.938,0.000,0,50,88.090,88.166,87.531,89.430,87.887,88.385,False,-56.593,LOW,171.182,242.945
Guatemala,guatemala,2025-10-27,3,14.225,-90.325,3.000,202.938,0.000,0,50,85.582,85.864,84.734,89.555,85.244,86.154,False,-57.829,LOW,171.182,242.945
