country,country_code,forecast_date,lead_time_days,latitude,longitude,threshold_rp_years,threshold_discharge_m3s,exceedance_probability,exceeding_members,total_members,median_discharge_m3s,mean_discharge_m3s,min_discharge_m3s,max_discharge_m3s,p25_discharge_m3s,p75_discharge_m3s,median_exceeds_threshold,median_exceedance_pct,alert_status,threshold_2yr_m3s,threshold_5yr_m3s
Philippines,philippines,2025-10-01,3,8.875,125.575,5.000,4709.974,0.000,0,50,828.254,876.760,591.352,1484.227,716.846,1018.395,False,-82.415,LOW,3193.343,4709.974
Philippines,philippines,2025-10-02,3,8.875,125.575,5.000,4709.974,0.000,0,50,675.051,684.218,505.844,953.516,575.541,768.363,False,-85.668,LOW,3193.343,4709.974
Philippines,philippines,2025-10-03,3,8.875,125.575,5.000,4709.974,0.000,0,50,1056.664,1076.393,962.141,1246.406,1021.689,1120.127,False,-77.565,LOW,3193.343,4709.974
Philippines,philippines,2025-10-04,3,8.875,125.575,5.000,4709.974,0.000,0,50,893.109,912.815,786.156,1289.391,850.043,956.609,False,-81.038,LOW,3193.343,4709.974
Philippines,philippines,2025-10-05,3,8.875,125.575,5.000,4709.974,0.000,0,50,813.473,838.107,681.398,1192.805,742.416,882.900,False,-82.729,LOW,3193.343,4709.974
Philippines,philippines,2025-10-06,3,8.875,125.575,5.000,4709.974,0.000,0,50,866.512,903.825,627.008,1618.867,783.127,984.426,False,-81.603,LOW,3193.343,4709.974
Philippines,philippines,2025-10-07,3,8.875,125.575,5.000,4709.974,0.000,0,50,1053.727,1086.549,652.523,1832.938,921.215,1200.373,False,-77.628,LOW,3193.343,4709.974
Philippines,philippines,2025-10-08,3,8.875,125.575,5.000,4709.974,0.000,0,50,995.898,1026.157,754.547,1748.664,861.035,1108.014,False,-78.856,LOW,3193.343,4709.974
Philippines,philippines,2025-10-09,3,8.875,125.575,5.000,4709.974,0.000,0,50,1011.605,1042.528,766.234,1584.406,886.826,1130.498,False,-78.522,LOW,3193.343,4709.974
Philippines,philippines,2025-10-10,3,8.875,125.575,5.000,4709.974,0.000,0,50,904.160,919.260,742.906,1328.055,814.918,981.498,False,-80.803,LOW,3193.343,4709.974
Philippines,philippines,2025-10-11,3,8.875,125.575,5.000,4709.974,0.000,0,50,830.895,875.090,633.211,1230.188,781.797,966.553,False,-82.359,LOW,3193.343,4709.974
Philippines,philippines,2025-10-12,3,8.875,125.575,5.000,4709.974,0.000,0,50,763.590,769.146,665.969,924.148,714.338,801.527,False,-83.788,LOW,3193.343,4709.974
Philippines,philippines,2025-10-13,3,8.875,125.575,5.000,4709.974,0.000,0,50,566.512,587.831,496.148,820.672,535.129,632.533,False,-87.972,LOW,3193.343,4709.974
Philippines,philippines,2025-10-14,3,8.875,125.575,5.000,4709.974,0.000,0,50,505.238,516.676,429.055,701.781,477.277,536.365,False,-89.273,LOW,3193.343,4709.974
Philippines,philippines,2025-10-15,3,8.875,125.575,5.000,4709.974,0.000,0,50,546.707,562.610,454.945,817.656,514.578,583.377,False,-88.393,LOW,3193.343,4709.974
Philippines,philippines,2025-10-16,3,8.875,125.575,5.000,4709.974,0.000,0,50,618.062,642.281,488.312,1000.539,556.805,698.018,False,-86.878,LOW,3193.343,4709.974
Philippines,philippines,2025-10-17,3,8.875,125.575,5.000,4709.974,0.000,0,50,596.770,638.440,387.039,1245.773,490.787,728.012,False,-87.330,LOW,3193.343,4709.974
Philippines,philippines,2025-10-18,3,8.875,125.575,5.000,4709.974,0.000,0,50,469.242,482.373,421.562,617.961,452.225,506.230,False,-90.037,LOW,3193.343,4709.974
Philippines,philippines,2025-10-19,3,8.875,125.575,5.000,4709.974,0.000,0,50,394.492,410.694,352.703,669.445,383.578,423.053,False,-91.624,LOW,3193.343,4709.974
Philippines,philippines,2025-10-20,3,8.875,125.575,5.000,4709.974,0.000,0,50,465.527,486.525,359.797,1190.523,428.016,507.029,False,-90.116,LOW,3193.343,4709.974
Philippines,philippines,2025-10-21,3,8.875,125.575,5.000,4709.974,0.000,0,50,538.109,541.564,346.008,812.234,461.250,604.025,False,-88.575,LOW,3193.343,4709.974
Philippines,philippines,2025-10-22,3,8.875,125.575,5.000,4709.974,0.000,0,50,630.867,659.242,428.961,1042.008,565.051,770.508,False,-86.606,LOW,3193.343,4709.974
Philippines,philippines,2025-10-23,3,8.875,125.575,5.000,4709.974,0.000,0,50,685.059,707.940,571.391,1075.164,623.180,759.039,False,-85.455,LOW,3193.343,4709.974
Philippines,philippines,2025-10-24,3,8.875,125.575,5.000,4709.974,0.000,0,50,1014.832,1058.859,695.828,1581.789,916.578,1208.898,False,-78.454,LOW,3193.343,4709.974
Philippines,philippines,2025-10-25,3,8.875,125.575,5.000,4709.974,0.000,0,50,1400.895,1519.341,1025.477,3340.906,1242.805,1560.957,False,-70.257,LOW,3193.343,4709.974
Philippines,philippines,2025-10-26,3,8.875,125.575,5.000,4709.974,0.000,0,50,1132.391,1172.587,908.789,1556.625,1033.383,1346.436,False,-75.958,LOW,3193.343,4709.974
Philippines,philippines,2025-10-27,3,8.875,125.575,5.000,4709.974,0.000,0,50,1013.023,1056.172,874.273,1589.844,936.359,1105.604,False,-78.492,LOW,3193.343,4709.974
Philippines,philippines,2025-10-28,3,8.875,125.575,5.000,4709.974,0.000,0,50,1110.145,1137.083,786.195,1845.070,1005.535,1235.172,False,-76.430,LOW,3193.343,4709.974
