country,country_code,forecast_date,lead_time_days,latitude,longitude,threshold_rp_years,threshold_discharge_m3s,exceedance_probability,exceeding_members,total_members,median_discharge_m3s,mean_discharge_m3s,min_discharge_m3s,max_discharge_m3s,p25_discharge_m3s,p75_discharge_m3s,median_exceeds_threshold,median_exceedance_pct,alert_status,threshold_2yr_m3s,threshold_5yr_m3s
Philippines,philippines,2025-10-01,3,13.425,123.325,5.000,733.622,0.000,0,50,140.488,145.575,98.992,272.383,120.293,164.328,False,-80.850,LOW,528.752,733.622
Philippines,philippines,2025-10-02,3,13.425,123.325,5.000,733.622,0.000,0,50,174.391,189.788,91.719,346.883,145.762,215.879,False,-76.229,LOW,528.752,733.622
Philippines,philippines,2025-10-03,3,13.425,123.325,5.000,733.622,0.000,0,50,154.379,156.611,134.922,200.500,146.557,162.621,False,-78.957,LOW,528.752,733.622
Philippines,philippines,2025-10-04,3,13.425,123.325,5.000,733.622,0.000,0,50,86.152,87.586,74.273,129.664,81.268,91.160,False,-88.257,LOW,528.752,733.622
Philippines,philippines,2025-10-05,3,13.425,123.325,5.000,733.622,0.000,0,50,66.977,67.959,61.484,82.125,65.455,70.289,False,-90.870,LOW,528.752,733.622
Philippines,philippines,2025-10-06,3,13.425,123.325,5.000,733.622,0.000,0,50,56.969,59.974,45.141,111.820,51.947,62.854,False,-92.235,LOW,528.752,733.622
Philippines,philippines,2025-10-07,3,13.425,123.325,5.000,733.622,0.000,0,50,52.609,56.398,32.969,103.922,46.260,64.705,False,-92.829,LOW,528.752,733.622
Philippines,philippines,2025-10-08,3,13.425,123.325,5.000,733.622,0.000,0,50,79.730,92.220,52.484,236.633,72.775,101.104,False,-89.132,LOW,528.752,733.622
Philippines,philippines,2025-10-09,3,13.425,123.325,5.000,733.622,0.000,0,50,119.660,122.075,59.406,258.570,97.189,140.465,False,-83.689,LOW,528.752,733.622
Philippines,philippines,2025-10-10,3,13.425,123.325,5.000,733.622,0.000,0,50,115.055,132.139,72.883,488.602,93.824,132.605,False,-84.317,LOW,528.752,733.622
Philippines,philippines,2025-10-11,3,13.425,123.325,5.000,733.622,0.000,0,50,97.820,99.261,72.867,133.703,85.381,109.883,False,-86.666,LOW,528.752,733.622
Philippines,philippines,2025-10-12,3,13.425,123.325,5.000,733.622,0.000,0,50,79.898,79.912,63.430,100.133,72.883,88.564,False,-89.109,LOW,528.752,733.622
Philippines,philippines,2025-10-13,3,13.425,123.325,5.000,733.622,0.000,0,50,84.859,86.910,69.289,137.258,76.926,90.186,False,-88.433,LOW,528.752,733.622
Philippines,philippines,2025-10-14,3,13.425,123.325,5.000,733.622,0.000,0,50,61.164,63.475,53.281,88.992,57.906,68.379,False,-91.663,LOW,528.752,733.622
Philippines,philippines,2025-10-15,3,13.425,123.325,5.000,733.622,0.000,0,50,53.492,56.475,42.250,92.953,48.791,59.375,False,-92.708,LOW,528.752,733.622
Philippines,philippines,2025-10-16,3,13.425,123.325,5.000,733.622,0.000,0,50,70.152,98.107,44.477,344.102,57.994,99.568,False,-90.438,LOW,528.752,733.622
Philippines,philippines,2025-10-17,3,13.425,123.325,5.000,733.622,0.000,0,50,137.910,178.645,57.617,507.766,98.053,215.072,False,-81.201,LOW,528.752,733.622
Philippines,philippines,2025-10-18,3,13.425,123.325,5.000,733.622,0.000,0,50,168.551,180.918,54.266,503.836,126.387,211.986,False,-77.025,LOW,528.752,733.622
Philippines,philippines,2025-10-19,3,13.425,123.325,5.000,733.622,0.000,0,50,98.051,100.535,90.258,128.359,94.990,105.301,False,-86.635,LOW,528.752,733.622
Philippines,philippines,2025-10-20,3,13.425,123.325,5.000,733.622,0.000,0,50,79.090,78.590,67.633,94.859,72.211,83.480,False,-89.219,LOW,528.752,733.622
Philippines,philippines,2025-10-21,3,13.425,123.325,5.000,733.622,0.000,0,50,65.426,66.510,50.031,89.781,59.529,74.275,False,-91.082,LOW,528.752,733.622
Philippines,philippines,2025-10-22,3,13.425,123.325,5.000,733.622,0.000,0,50,49.824,50.836,40.867,74.617,46.023,54.641,False,-93.208,LOW,528.752,733.622
Philippines,philippines,2025-10-23,3,13.425,123.325,5.000,733.622,0.000,0,50,52.633,53.547,40.242,78.977,46.955,56.607,False,-92.826,LOW,528.752,733.622
Philippines,philippines,2025-10-24,3,13.425,123.325,5.000,733.622,0.000,0,50,54.117,62.382,38.016,210.727,49.375,70.309,False,-92.623,LOW,528.752,733.622
Philippines,philippines,2025-10-25,3,13.425,123.325,5.000,733.622,0.000,0,50,69.496,73.234,48.391,126.883,61.146,81.855,False,-90.527,LOW,528.752,733.622
Philippines,philippines,2025-10-26,3,13.425,123.325,5.000,733.622,0.000,0,50,63.832,66.425,39.797,106.875,52.350,75.441,False,-91.299,LOW,528.752,733.622
Philippines,philippines,2025-10-27,3,13.425,123.325,5.000,733.622,0.000,0,50,73.520,78.341,49.664,157.133,66.646,86.574,False,-89.979,LOW,528.752,733.622
Philippines,philippines,2025-10-28,3,13.425,123.325,5.000,733.622,0.000,0,50,106.312,106.358,75.352,177.750,92.652,114.521,False,-85.509,LOW,528.752,733.622
