country,country_code,forecast_date,lead_time_days,latitude,longitude,threshold_rp_years,threshold_discharge_m3s,exceedance_probability,exceeding_members,total_members,median_discharge_m3s,mean_discharge_m3s,min_discharge_m3s,max_discharge_m3s,p25_discharge_m3s,p75_discharge_m3s,median_exceeds_threshold,median_exceedance_pct,alert_status,threshold_2yr_m3s,threshold_5yr_m3s
Philippines,philippines,2025-10-01,3,17.625,121.675,5.000,9742.727,0.000,0,50,1744.660,1913.430,1018.914,4201.492,1481.785,2208.391,False,-82.093,LOW,6867.840,9742.727
Philippines,philippines,2025-10-02,3,17.625,121.675,5.000,9742.727,0.000,0,50,3553.301,4056.387,1941.641,7883.172,3071.592,5030.457,False,-63.529,LOW,6867.840,9742.727
Philippines,philippines,2025-10-03,3,17.625,121.675,5.000,9742.727,0.000,0,50,4637.566,4975.157,3272.797,7791.531,4252.900,5564.332,False,-52.400,LOW,6867.840,9742.727
Philippines,philippines,2025-10-04,3,17.625,121.675,5.000,9742.727,0.000,0,50,3777.957,3795.266,3716.359,4010.383,3760.924,3822.410,False,-61.223,LOW,6867.840,9742.727
Philippines,philippines,2025-10-05,3,17.625,121.675,5.000,9742.727,0.000,0,50,2897.422,2916.067,2831.617,3174.828,2869.289,2921.824,False,-70.261,LOW,6867.840,9742.727
Philippines,philippines,2025-10-06,3,17.625,121.675,5.000,9742.727,0.000,0,50,2177.367,2188.214,2122.023,2351.508,2161.391,2204.695,False,-77.651,LOW,6867.840,9742.727
Philippines,philippines,2025-10-07,3,17.625,121.675,5.000,9742.727,0.000,0,50,1666.062,1685.695,1582.391,1921.742,1621.211,1727.566,False,-82.899,LOW,6867.840,9742.727
Philippines,philippines,2025-10-08,3,17.625,121.675,5.000,9742.727,0.000,0,50,1378.094,1405.244,1242.398,1819.359,1330.551,1446.732,False,-85.855,LOW,6867.840,9742.727
Philippines,philippines,2025-10-09,3,17.625,121.675,5.000,9742.727,0.000,0,50,1372.777,1421.648,1080.719,2023.766,1217.814,1545.561,False,-85.910,LOW,6867.840,9742.727
Philippines,philippines,2025-10-10,3,17.625,121.675,5.000,9742.727,0.000,0,50,1324.574,1353.685,1026.391,1934.086,1190.059,1499.705,False,-86.404,LOW,6867.840,9742.727
Philippines,philippines,2025-10-11,3,17.625,121.675,5.000,9742.727,0.000,0,50,1183.871,1217.589,1036.711,1595.133,1117.916,1315.215,False,-87.849,LOW,6867.840,9742.727
Philippines,philippines,2025-10-12,3,17.625,121.675,5.000,9742.727,0.000,0,50,1421.887,1432.818,1343.477,1637.891,1387.453,1465.744,False,-85.406,LOW,6867.840,9742.727
Philippines,philippines,2025-10-13,3,17.625,121.675,5.000,9742.727,0.000,0,50,996.262,1022.598,950.625,1507.781,976.617,1016.809,False,-89.774,LOW,6867.840,9742.727
Philippines,philippines,2025-10-14,3,17.625,121.675,5.000,9742.727,0.000,0,50,789.930,803.885,725.367,1019.859,750.863,832.113,False,-91.892,LOW,6867.840,9742.727
Philippines,philippines,2025-10-15,3,17.625,121.675,5.000,9742.727,0.000,0,50,695.320,731.095,623.250,1108.312,660.578,749.801,False,-92.863,LOW,6867.840,9742.727
Philippines,philippines,2025-10-16,3,17.625,121.675,5.000,9742.727,0.000,0,50,656.570,711.666,572.414,1088.117,625.732,805.283,False,-93.261,LOW,6867.840,9742.727
Philippines,philippines,2025-10-17,3,17.625,121.675,5.000,9742.727,0.000,0,50,1319.023,1621.580,570.141,7978.422,975.707,1682.225,False,-86.461,LOW,6867.840,9742.727
Philippines,philippines,2025-10-18,3,17.625,121.675,5.000,9742.727,0.020,1,50,4312.699,4621.127,1984.078,10043.172,3245.920,5381.734,False,-55.734,LOW,6867.840,9742.727
Philippines,philippines,2025-10-19,3,17.625,121.675,5.000,9742.727,0.000,0,50,3569.973,3644.964,2552.953,4843.539,3360.814,3791.613,False,-63.358,LOW,6867.840,9742.727
Philippines,philippines,2025-10-20,3,17.625,121.675,5.000,9742.727,0.000,0,50,2733.840,2741.438,2598.445,3036.992,2678.980,2807.791,False,-71.940,LOW,6867.840,9742.727
Philippines,philippines,2025-10-21,3,17.625,121.675,5.000,9742.727,0.000,0,50,2914.012,2935.448,2719.656,3555.500,2843.248,3017.814,False,-70.090,LOW,6867.840,9742.727
Philippines,philippines,2025-10-22,3,17.625,121.675,5.000,9742.727,0.000,0,50,2311.301,2315.294,2096.719,2570.938,2222.941,2413.758,False,-76.277,LOW,6867.840,9742.727
Philippines,philippines,2025-10-23,3,17.625,121.675,5.000,9742.727,0.000,0,50,1891.906,1912.847,1734.422,2186.219,1841.195,1981.020,False,-80.581,LOW,6867.840,9742.727
Philippines,philippines,2025-10-24,3,17.625,121.675,5.000,9742.727,0.000,0,50,1417.957,1467.537,1216.281,1973.812,1374.680,1540.383,False,-85.446,LOW,6867.840,9742.727
Philippines,philippines,2025-10-25,3,17.625,121.675,5.000,9742.727,0.000,0,50,1259.691,1284.197,1146.766,1615.852,1221.098,1324.604,False,-87.070,LOW,6867.840,9742.727
Philippines,philippines,2025-10-26,3,17.625,121.675,5.000,9742.727,0.000,0,50,1163.898,1221.790,937.469,1809.844,1083.338,1334.193,False,-88.054,LOW,6867.840,9742.727
Philippines,philippines,2025-10-27,3,17.625,121.675,5.000,9742.727,0.000,0,50,1357.434,1409.446,1121.398,2085.398,1248.094,1552.082,False,-86.067,LOW,6867.840,9742.727
Philippines,philippines,2025-10-28,3,17.625,121.675,5.000,9742.727,0.000,0,50,1267.422,1295.705,1133.602,1658.945,1210.453,1340.111,False,-86.991,LOW,6867.840,9742.727
