country,country_code,forecast_date,lead_time_days,latitude,longitude,threshold_rp_years,threshold_discharge_m3s,exceedance_probability,exceeding_members,total_members,median_discharge_m3s,mean_discharge_m3s,min_discharge_m3s,max_discharge_m3s,p25_discharge_m3s,p75_discharge_m3s,median_exceeds_threshold,median_exceedance_pct,alert_status,threshold_2yr_m3s,threshold_5yr_m3s
Philippines,philippines,2025-10-01,3,11.425,122.725,5.000,864.761,0.000,0,50,138.164,142.513,104.625,204.664,126.064,160.621,False,-84.023,LOW,603.604,864.761
Philippines,philippines,2025-10-02,3,11.425,122.725,5.000,864.761,0.000,0,50,134.133,139.805,102.180,231.227,115.008,150.881,False,-84.489,LOW,603.604,864.761
Philippines,philippines,2025-10-03,3,11.425,122.725,5.000,864.761,0.000,0,50,112.023,115.293,80.844,199.859,97.203,125.947,False,-87.046,LOW,603.604,864.761
Philippines,philippines,2025-10-04,3,11.425,122.725,5.000,864.761,0.000,0,50,88.102,89.885,61.953,150.766,77.031,96.848,False,-89.812,LOW,603.604,864.761
Philippines,philippines,2025-10-05,3,11.425,122.725,5.000,864.761,0.000,0,50,72.566,77.745,50.680,217.992,61.609,83.818,False,-91.609,LOW,603.604,864.761
Philippines,philippines,2025-10-06,3,11.425,122.725,5.000,864.761,0.000,0,50,121.074,125.935,67.500,212.828,100.600,138.240,False,-85.999,LOW,603.604,864.761
Philippines,philippines,2025-10-07,3,11.425,122.725,5.000,864.761,0.000,0,50,145.586,157.529,72.945,385.805,126.791,170.332,False,-83.165,LOW,603.604,864.761
Philippines,philippines,2025-10-08,3,11.425,122.725,5.000,864.761,0.000,0,50,150.047,160.164,79.328,281.609,130.016,197.510,False,-82.649,LOW,603.604,864.761
Philippines,philippines,2025-10-09,3,11.425,122.725,5.000,864.761,0.000,0,50,151.496,159.672,100.836,238.477,133.404,188.576,False,-82.481,LOW,603.604,864.761
Philippines,philippines,2025-10-10,3,11.425,122.725,5.000,864.761,0.000,0,50,180.324,190.450,106.961,302.359,156.529,214.244,False,-79.148,LOW,603.604,864.761
Philippines,philippines,2025-10-11,3,11.425,122.725,5.000,864.761,0.000,0,50,170.965,174.259,130.289,218.938,157.918,193.801,False,-80.230,LOW,603.604,864.761
Philippines,philippines,2025-10-12,3,11.425,122.725,5.000,864.761,0.000,0,50,144.684,148.091,106.312,267.383,125.930,160.090,False,-83.269,LOW,603.604,864.761
Philippines,philippines,2025-10-13,3,11.425,122.725,5.000,864.761,0.000,0,50,119.762,124.104,92.758,189.031,110.789,137.998,False,-86.151,LOW,603.604,864.761
Philippines,philippines,2025-10-14,3,11.425,122.725,5.000,864.761,0.000,0,50,116.840,123.278,90.023,177.617,111.594,135.600,False,-86.489,LOW,603.604,864.761
Philippines,philippines,2025-10-15,3,11.425,122.725,5.000,864.761,0.000,0,50,131.926,137.632,88.328,250.445,115.646,150.119,False,-84.744,LOW,603.604,864.761
Philippines,philippines,2025-10-16,3,11.425,122.725,5.000,864.761,0.000,0,50,170.887,197.235,107.227,822.688,142.240,200.400,False,-80.239,LOW,603.604,864.761
Philippines,philippines,2025-10-17,3,11.425,122.725,5.000,864.761,0.020,1,50,178.402,213.461,109.547,989.711,151.457,217.535,False,-79.370,LOW,603.604,864.761
Philippines,philippines,2025-10-18,3,11.425,122.725,5.000,864.761,0.000,0,50,190.773,204.948,96.148,522.695,152.514,230.844,False,-77.939,LOW,603.604,864.761
Philippines,philippines,2025-10-19,3,11.425,122.725,5.000,864.761,0.000,0,50,130.812,133.764,112.141,203.781,124.014,136.170,False,-84.873,LOW,603.604,864.761
Philippines,philippines,2025-10-20,3,11.425,122.725,5.000,864.761,0.000,0,50,125.168,130.419,97.312,238.398,115.523,136.996,False,-85.526,LOW,603.604,864.761
Philippines,philippines,2025-10-21,3,11.425,122.725,5.000,864.761,0.000,0,50,118.363,119.673,79.812,203.695,99.605,130.455,False,-86.313,LOW,603.604,864.761
Philippines,philippines,2025-10-22,3,11.425,122.725,5.000,864.761,0.000,0,50,123.410,127.682,85.344,257.938,106.107,140.785,False,-85.729,LOW,603.604,864.761
Philippines,philippines,2025-10-23,3,11.425,122.725,5.000,864.761,0.000,0,50,137.137,143.306,101.492,231.156,122.719,153.598,False,-84.142,LOW,603.604,864.761
Philippines,philippines,2025-10-24,3,11.425,122.725,5.000,864.761,0.000,0,50,152.504,156.653,91.445,233.961,130.924,180.096,False,-82.365,LOW,603.604,864.761
Philippines,philippines,2025-10-25,3,11.425,122.725,5.000,864.761,0.000,0,50,286.414,306.685,153.344,641.695,240.807,357.688,False,-66.879,LOW,603.604,864.761
Philippines,philippines,2025-10-26,3,11.425,122.725,5.000,864.761,0.000,0,50,187.527,198.884,112.531,369.812,164.621,229.801,False,-78.315,LOW,603.604,864.761
Philippines,philippines,2025-10-27,3,11.425,122.725,5.000,864.761,0.000,0,50,185.836,191.475,141.523,323.156,168.809,206.270,False,-78.510,LOW,603.604,864.761
Philippines,philippines,2025-10-28,3,11.425,122.725,5.000,864.761,0.000,0,50,210.203,230.600,153.148,519.789,195.104,240.244,False,-75.692,LOW,603.604,864.761
